título	id	precio	estado	disponibilidad	canal	etiqueta de feed	idioma	categoría en google product	checkout link template	color	coste de bienes vendidos	descripción	diseño	edad	enlace	enlace imagen	enlace imagen adicional	envío(país envío)	existe identificador	gtin	identificador de grupo	marca	merchant item id	modification info(modification source:modifier)	mpn	peso de embarque	product detail(attribute name:attribute value:section name)	rating average	rating count	sell on google quantity	sexo	sku	tipo producto	todos los clics
Thetford Fresh-Up Waschbecken-Set C400	8455367345048285652	171.97 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42237264494754&quantity=1			"Gönnen Sie Ihrer Toilette ein Upgrade mit dem Thetford Fresh-up Set C400. Alles, was Sie für eine komfortable und sorgenfreie Toilettenbenutzung benötigen. Jetzt entdecken!"			https://evacaravan.com/de-at/products/thetford-fresh-up-waschbecken-set-c400	https://evacaravan.com/cdn/shop/files/kit-thetford-fresh-up-c400-set-completo.jpg?v=1764255613		AT		08710315028560	7529130590370	Thetford												0
Victron Energy Chargeur Orion 30 NON ISOLÉ	15849055590911220769	215.78 EUR	nuevo	en stock	online	BE	fr		https://evacaravan.com/fr-be/cart/add?id=48995280814422&quantity=1			Victron Energy Orion 30A Non Isolé Bluetooth : chargeur CC-CC intelligent pour camping-cars et 4x4. Contrôle mobile et durée de vie batterie.			https://evacaravan.com/fr-be/products/victron-energy-cargador-orion-30-no-aislado?variant=48995280814422	https://evacaravan.com/cdn/shop/files/victron-orion-smart-30a-no-aislado-producto-frontal.jpg?v=1764763902	https://evacaravan.com/cdn/shop/files/victron-orion-smart-30a-no-aislado-producto-frontal_1200x1200.jpg?v=1764763902	BE		08719076048954	9223435059542	Victron Energy			8719076048954									0
Victron Smart BatteryProtect 220A | Protector 12/24V	shopify_ES_9927400522070_51722568139094	94.45 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/victron-energy-smart-batteryprotect-220a-12-24v?variant=51722568139094&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8719076021452														0
Fiamma Security 31 Sicherheitsgriff	6831994619156828665	100.27 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42230760407202&quantity=1			Der Sicherheitsgriff Fiamma Security 31 bietet mehr Schutz und Stabilität beim Ein- und Aussteigen aus Ihrem Wohnwagen oder Wohnmobil.			https://evacaravan.com/de-at/products/fiamma-security-31-sicherheitsgriff	https://evacaravan.com/cdn/shop/files/Kit_completo_de_instalaci_n_del_asa_de_seguridad_Fiamma_Security_31.jpg?v=1764066526	https://evacaravan.com/cdn/shop/files/Kit_completo_de_instalaci_n_del_asa_de_seguridad_Fiamma_Security_31_1200x1200.jpg?v=1764066526	AT		08004815030391	7527177191586	Fiamma												0
Fiamma Kit Level Up Premium Chocks	15942015	94.23 EUR	nuevo	en stock	online	ES	de		https://evacaravan.com/de/cart/add?id=49001227944278&quantity=1			"Die Fiamma Kit Level Up Premium Nivellierblöcke sind ein Hochleistungssystem zum Ausgleichen von Wohnmobilen auf unebenem Untergrund. Dank ihrer großen Auflagefläche für Boden und Reifen bieten sie auch auf unebenem Gelände stabilen Halt. Die speziell geformten Stufen schützen zudem die Räder und reduzieren das Risiko von Verformungen.



 Dieses Set bietet drei Höheneinstellungen (7, 13 und 17 cm) für eine stufenlose Nivellierung. So finden Sie die optimale Position präziser und genießen mehr Parkkomfort. Es ist auch eine praktische Lösung für Übernachtungen, Camping oder unebenes Gelände.



Trotz ihrer Größe sind sie leicht zu transportieren. Sie verfügen über einen Tragegriff an der Rückseite und werden mit der Level Bag Premium geliefert, die sich ideal zur Aufbewahrung eignet und für einen aufgeräumten Kofferraum sorgt. Hergestellt aus ABS-Kunststoff , besitzen sie eine wabenförmige Oberfläche , die die Struktur verstärkt, ohne das Gewicht unnötig zu erhöhen. Zudem bieten sie eine hohe Tragfähigkeit von bis zu 5 Tonnen pro Achse .





 Wichtiger Hinweis: Dieses Produkt dient dem Ausgleich von Unebenheiten im Gelände . Es darf nicht als Hebebühne für Fahrzeugreparaturen verwendet werden.







Technische Spezifikationen








 Abmessungen: 83 x 20 x 31 cm








 Höhen: 7 cm / 13 cm / 17 cm








 Material: ABS-Kunststoff








 Grau








 Gewicht: 3,7 kg








 Maximale Achslast: 5 Tonnen








 Beinhaltet: Level-Tasche, Premium-Tasche"			https://evacaravan.com/de/products/fiamma-kit-level-up-premium-keile	https://evacaravan.com/cdn/shop/files/kit-2-calzos-fiamma-level-up-premium-juego-par.jpg?v=1765880869		ES			9224670249302	Fiamma			8004815379044									0
Thetford Fresh-up Set C250 260: Kit Completo de Renovación	shopify_ES_7529130164386_42237263577250	168.18 EUR		en stock	online	ES	es	503009				Renueva tu inodoro Cassette con depósito y asiento nuevos con el Thetford Fresh-up Set C250/260 para mejorar higiene y confort en tu caravana.			https://evacaravan.com/products/thetford-fresh-up-set-c250-260?variant=42237263577250&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-set-completo.jpg?v=1764254764	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-deposito-frontal.jpg?v=1764254794,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-deposito-lateral.jpg?v=1764254821,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-deposito-vertical.jpg?v=1764254847,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-palanca-detalle.jpg?v=1764254872,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-asiento.jpg?v=1764254900,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-deposito-superior-bajo.jpg?v=1764254925,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-boquilla-detalle.jpg?v=1764254955,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/kit-thetford-fresh-up-c250-c260-medidas.jpg?v=1764254980		sí	8710315028577		Thetford	gid://shopify/ProductVariant/42237263577250	third party shopify:third party syncing		0 kg						15938572	Depósitos de aguas grises	0
AL-KO 2004/3004 Seitenreibungspad-Kit	1220755	53.74 EUR	nuevo	agotado	online	DE	de		https://evacaravan.com/de-de/cart/add?id=48995591586134&quantity=1	negro		"AL-KO 2004/3004 Reibbeläge, Original-Seitensatz. Verbessert die Anhängerstabilität und reduziert Vibrationen. Hochwertige AL-KO-Qualität."	Solid		https://evacaravan.com/de-de/products/al-ko-2004-3004-seitenreibungspad-kit	https://evacaravan.com/cdn/shop/files/kit-almohadillas-friccion-laterales-al-ko-2004-3004-1.jpg?v=1764247946		DE		04003718032963	9223536247126	AL-KO												0
Fiamma Roll Tank 40W Grau	15943341	127.70 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=48995930800470&quantity=1			"Der Fiamma Roll Tank 40W in Grau ist ein 40-Liter-Abwassertank mit Rädern, robust und leicht zu transportieren. Ideal für Wohnwagen und Wohnmobile."			https://evacaravan.com/de/products/fiamma-roll-tank-40w-grau	https://evacaravan.com/cdn/shop/files/fiamma-roll-tank-40w-deposito-agua-potable-con-ruedas.jpg?v=1764232304		DE		08004815411572	9223626981718	Fiamma												0
Milenco Bloqueador Patas | Cerradura Caravana	shopify_ES_9223525040470_48995526738262	71.25 EUR		en stock	online	ES	es	235921			41.02 EUR	"El Milenco Bloqueador Patas (Corner Steady Locks) es un accesorio ideal si quieres añadir seguridad extra a tu caravana o remolque cuando está estacionado. Estas cerraduras se instalan en las patas de apoyo de la esquina. Así, ayudan a reducir el riesgo de manipulación y aportan más tranquilidad en camping, áreas de pernocta o aparcamientos. Su diseño robusto está pensado para ofrecer una protección completa. Además, es un sistema fácil de montar, por lo que no necesitas complicarte para empezar a usarlo. Una vez colocado, el bloqueador actúa sobre un punto clave: evita la rotación del eje central. En consecuencia, dificulta acciones que podrían afectar a la estabilidad o a la posición de la pata. A diferencia de otras soluciones que solo pasan por una abrazadera, este sistema busca impedir el giro del eje. Por tanto, reduce el problema típico de que la abrazadera gire, levante la pierna y pierda eficacia. Con el Milenco Corner Steady Lock, la sujeción se centra en mantener el mecanismo más controlado y protegido. Ventajas principales del Milenco Bloqueador Patas: Aporta seguridad adicional a caravana y remolque. Diseño fuerte y duradero para uso habitual. Montaje sencillo y uso práctico. Evita la rotación del eje central, punto crítico del sistema. Más protección frente a sistemas que dependen solo de una abrazadera. En resumen, si buscas un complemento para reforzar la seguridad del estacionamiento, el Milenco Bloqueador Patas es una opción fiable, resistente y fácil de instalar."			https://evacaravan.com/products/milenco-bloqueador-patas-caravana-y-remolque?variant=48995526738262&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/milenco-bloqueador-patas-primer-plano-cerradura-antirrobo.jpg?v=1765976021	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/milenco-bloqueador-patas-kit-doble-con-llaves-y-accesorios.jpg?v=1765976047,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/milenco-bloqueador-patas-instalado-pata-estabilizadora-caravana.jpg?v=1765976069,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/milenco-logo-antirrobo-aks-3004.jpg?v=1765893122		sí	5060101833094		Milenco	gid://shopify/ProductVariant/48995526738262	third party shopify:third party syncing		0.9 kg				5		3094	Estabilizadores	0
Thetford Aqua Kem Blauer Beutel	sachetx1	66.00 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=52057074925910&quantity=1	azul		Mit dem Thetford Aqua Kem Blue Sachet erzielen Sie maximale Hygiene in Ihren Chemietoiletten. Geruchskontrolle und Reinigung sind für 5 Tage garantiert.	Solid		https://evacaravan.com/de-de/products/thetford-aqua-kem-blue-sachet	https://evacaravan.com/cdn/shop/files/thetford-aqua-kem-blue-sachets-botes-frontales-60-dosis.jpg?v=1776179462	https://evacaravan.com/cdn/shop/files/thetford-aqua-kem-blue-sachets-botes-frontales-60-dosis_1200x1200.jpg?v=1776179462	DE		08710315030686	10026101440854	Thetford												0
Victron Energy Orion XS 12/12 50A (700W) DC/DC Smart-Ladegerät	285051891473239341	307.59 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=51750866420054&quantity=1			"Das Victron Orion XS 12/12 50A Ladegerät garantiert effizientes DC-DC-Laden, 700 W Leistung und fortschrittlichen Schutz, um Ihre Batterien jederzeit zu schützen."			https://evacaravan.com/de-at/products/victron-energy-orion-xs-12-12-50a-dc-dc-smart-ladegeraet	https://evacaravan.com/cdn/shop/files/victron-orion-xs-12-12-50a-producto.jpg?v=1764071531		AT		08719076068501	9934236123478	Victron Energy												0
Aire acondicionado Openair Plus: Eficiencia y Silencio	shopify_ES_9942120071510_51774432280918	2637.10 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/aire-acondicionado-openair-plus?variant=51774432280918&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8434541001554														0
HEOSafe: Doppeltes Sicherheitsschloss für Wohnmobile und Wohnwagen	12656_1958-3	250.00 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=52069440422230&quantity=1			Schützen Sie Ihre Fahrzeuge mit dem HEOSafe 12656 + 1958 Set. Ideal für Raststätten und Autohöfe – jetzt zugreifen!			https://evacaravan.com/de/products/heosafe-doppeltes-sicherheitsschloss-fuer-wohnmobile-und-wohnwagen	https://evacaravan.com/cdn/shop/files/heosafe-heosolution-kit-cerradura-adicional-12656-1958-3-caja.jpg?v=1765539513		DE		04260361070630	10029506462038	HEOSolution												0
"Thule Transporterschlösser, 2er-Pack"	15935957	147.90 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=42203360952482&quantity=1			Sichern Sie Ihre Seiten- und Hecktüren mit dem Thule Van Lock Sicherheitsschloss-Set 2. Reisen Sie sorgenfrei und bewahren Sie Ihr Gepäck sicher auf.			https://evacaravan.com/de/products/pack-2-thule-transporterschloesser	https://evacaravan.com/cdn/shop/files/thule-van-lock-pack-dos-cerraduras-con-llaves.jpg?v=1764321630		DE		05415182019316	7516231729314	Thule												0
Cerradura Daken Saturn Go blanca furgoneta | Eva Caravan Individual	shopify_ES_10291075350870_52927284314454	99.00 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/daken-saturn-go-blanca-cerradura-furgoneta?variant=52927284314454&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8056446671900														0
Meroni UFO3 Smart DUO Negro | Cerradura Furgoneta x2	shopify_ES_9224579711318_49000953708886	261.79 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/meroni-ufo3-smart-duo-negro-x2?variant=49000953708886&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8003601696285														0
Fiamma Turbo Vent Premium Blanca 12V para autocaravana	shopify_ES_10036442726742_52092667887958	263.00 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/fiamma-turbo-vent-premium-blanca?variant=52092667887958&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8004815423148														0
Meroni UFO2 Van Lock - 2 Schlösser	8735773491542_8092332415	216.19 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=47671379984726&quantity=1			Mit dem Meroni UFO2-Schloss müssen Sie sich keine Sorgen mehr um Ihren Transporter machen. Profitieren Sie von seinem praktischen Design und schützen Sie Ihre Wertgegenstände.			https://evacaravan.com/de-de/products/meroni-ufo2-van-lock?variant=47671379984726	https://evacaravan.com/cdn/shop/files/meroni-ufo2-cerradura-detalle-perspectiva.jpg?v=1764149182		DE		08003601711230	8735773491542	MERONI												0
Fiamma Bike Cover S 4: Ideal para Autocaravanas y Campers	shopify_ES_9927283442006_51722219848022	57.34 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/fiamma-bike-cover-s-4-funda-protectora-bicicletas?variant=51722219848022&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8004815404079														0
Truma Elektro-Warmwasserbereiter-Set 14 l + Wasseranschluss-Set	a0004198	634.00 EUR	nuevo	agotado	online	ES	de		https://evacaravan.com/de/cart/add?id=51774468063574&quantity=1			"Das Truma-Set, bestehend aus einem 14-Liter-Elektroboiler und dem dazugehörigen Wasseranschluss-Set , ist die ideale Lösung für die Installation eines zuverlässigen Warmwassersystems in Ihrem Wohnwagen, Wohnmobil oder Camper. Dieses Paket enthält alle notwendigen Komponenten für eine zuverlässige Warmwasserversorgung u"			https://evacaravan.com/de/products/kit-truma-calentador-electrico-14-l-set-conexion-agua	https://evacaravan.com/cdn/shop/files/kit-truma-calentador-electrico-14l-boiler-caravana-autocaravana.jpg?v=1774440473		ES			9942124691798	Truma												0
"Victron Energy Blue Smart IP22 24-Volt 8 Ampere 230V Einzelausgangs-Batterieladegerät CEE 7/7, Bluetooth"	nt-921	129.52 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=51748556636502&quantity=1			Entdecken Sie das Victron Energy Blue Smart IP22 24V 8A Ladegerät mit adaptivem Management. Verlängern Sie die Lebensdauer Ihrer Batterie. Jetzt kaufen!			https://evacaravan.com/de/products/victron-energy-blue-smart-ip22-24v-8a-batterieladegeraet-bluetooth	https://evacaravan.com/cdn/shop/files/victron-energy-blue-smart-ip22-24v-8a-cargador-bateria-ceu.jpg?v=1764692259		DE		08719076037491	9933596131670	Victron Energy												0
Milenco Antivol Stabilisateur WS3000	2851	137.43 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=48995534831958&quantity=1			"Le Milenco Antivol Stabilisateur WS3000 est une option solide pour ceux qui souhaitent renforcer la sécurité de leur caravane ou remorque lorsqu'elle est stationnée. Avec un design moderne et une finition jaune haute visibilité, il agit comme élément dissuasif et aide à réduire le risque de tentatives de manipulation."			https://evacaravan.com/fr-fr/products/milenco-antirrobo-estabilizador-ws3000	https://evacaravan.com/cdn/shop/files/milenco-antirrobo-estabilizador-ws3000-kit-cerradura-llaves-accesorios.jpg?v=1765972192	https://evacaravan.com/cdn/shop/files/milenco-antirrobo-estabilizador-ws3000-kit-cerradura-llaves-accesorios_1200x1200.jpg?v=1765972192	FR		05060101832851	9223526154582	Milenco												0
Fiamma Vent 28F Cristal	7039514010094913564	92.94 EUR	nuevo	en stock	online	ES	fr		https://evacaravan.com/fr/cart/add?id=49001208381782&quantity=1			"Aérez votre camping-car avec Fiamma Vent 28F Cristal : trappe 28x28 cm transparente, dôme aérodynamique, moustiquaire fine et certification E."			https://evacaravan.com/fr/products/fiamma-vent-28f-cristal	https://evacaravan.com/cdn/shop/files/fiamma-vent-28f-cristal-abierta-posicion-ventilacion.jpg?v=1765973472	https://evacaravan.com/cdn/shop/files/fiamma-vent-28f-cristal-abierta-posicion-ventilacion_1200x1200.jpg?v=1765973472	ES		08004815423216	9224665399638	Fiamma												0
Victron Energy BatteryProtect 65 A para Cargas Seguras	shopify_ES_9927412482390_51722651500886	49.90 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/victron-energy-batteryprotect-protector-de-bateria-12-24-v-65-a?variant=51722651500886&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8719076034193														0
Cargador de Batería Fijo 16A CBE 516 60-200ah Seguro 16 Ah	shopify_ES_7515044413602_42199862345890	129.00 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/cargador-de-bateria-fijo-16a-cbe-516-60-200ah?variant=42199862345890&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8033123266901														0
Fiamma Tresortür Magnum-Schloss	sfmagnum	73.12 EUR	nuevo	en stock	online	ES	de		https://evacaravan.com/de/cart/add?id=49001246163286&quantity=1			"Das Fiamma Safe Door Magnum ist ein robustes Sicherheitsschloss für Wohnmobile und Camper. Es verstärkt Türen, beugt Diebstahl vor und bietet maximalen Schutz."			https://evacaravan.com/de/products/fiamma-tresortuer-magnum-schloss	https://evacaravan.com/cdn/shop/files/fiamma-safe-door-magnum-blanco.jpg?v=1764145975		ES		08004815409432	9224672772438	Fiamma												0
Cerradura Daken Blackstone Silver furgoneta | Eva Caravan Doble	shopify_ES_10360307908950_53204611596630	300.00 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/daken-blackstone-silver-combo-cerradura-furgoneta?variant=53204611596630&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8056446670958														0
Claraboya Dometic Heki 2 para Caravana y Autocaravana	shopify_ES_7518149640354_42207608340642	992.50 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/claraboya-dometic-heki-2?variant=42207608340642&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					4015704182361														0
"Victron Energy Blue Smart IP22 24-Volt 8 Amp 230V Single Output Battery Charger CEE 7/7, Bluetooth"	nt-921	129.52 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=51748556636502&quantity=1			Discover the Victron Energy Blue Smart IP22 24V 8A charger with adaptive management. Extend your battery's lifespan. Buy it now!			https://evacaravan.com/en-eu/products/victron-energy-blue-smart-ip22-24v-8a-battery-charger-bluetooth	https://evacaravan.com/cdn/shop/files/victron-energy-blue-smart-ip22-24v-8a-cargador-bateria-ceu.jpg?v=1764692259		ES		08719076037491	9933596131670	Victron Energy												0
Victron Phoenix 12/375 Schuko: Protección y Eficiencia	shopify_ES_8754933137750_47718889619798	121.05 EUR		en stock	online	ES	es	5142				"Obtenga energía estable y segura con el convertidor Victron Phoenix 12/375 Schuko. Rendimiento fiable, onda pura y control mediante VE.Direct."			https://evacaravan.com/products/convertidor-victron-phoenix-12-375-schuko?variant=47718889619798&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-phoenix-12-375-vista-superior.jpg?v=1764160476	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-phoenix-12-375-frontal-conexiones.jpg?v=1764160503,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-phoenix-12-375-conexiones-dc-y-leds.jpg?v=1764160529,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-phoenix-12-375-salida-ac-schuko.jpg?v=1764160555		sí	8719076045366		Victron Energy	gid://shopify/ProductVariant/47718889619798	third party shopify:third party syncing		0 kg						15943398	Inversor	0
Milenco 2745 Compact Clamp	2745	127.30 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=51750429688150&quantity=1			Protect your wheels with the Milenco compact wheel clamp. A safe and easy-to-install solution for caravans and trailers. Secure your vehicle!			https://evacaravan.com/en-eu/products/milenco-compact-wheel-clamp	https://evacaravan.com/cdn/shop/files/milenco-cepo-compacto-antirrobo-1.jpg?v=1764258508		ES		05060101832745	9934140604758	Milenco												0
Cerradura de seguridad Meroni UFO+ PLUS para vehículos comerciales - Juego de 2 Cerraduras	8717298205014_8086h3232b	265.90 EUR	nuevo	en stock	online	ES	es		https://evacaravan.com/es-eu/cart/add?id=47662540816726&quantity=1			"La cerradura Meroni UFO Plus ofrece máxima seguridad para vehículos comerciales. Diseño antirrobo en acero inoxidable, robusta, fiable y fácil de instalar."			https://evacaravan.com/es-eu/products/cerradura-meroni-ufo-plus?variant=47662540816726	https://evacaravan.com/cdn/shop/files/meroni-ufo-plus-vista-frontal.jpg?v=1764075069		ES		08003601632337	8717298205014	MERONI												0
Fiamma Turbo Vent Premium Cristal 12V para autocaravana	shopify_ES_10036469727574_52092807250262	278.50 EUR		en stock	online	ES	es	2805				"Ventilador de techo Fiamma Turbo Vent Premium Cristal: 12V, velocidad regulable e inversión de flujo. Aerodinámico, silencioso, con mosquitera y ventilación"			https://evacaravan.com/products/fiamma-turbo-vent-premium-cristal?variant=52092807250262&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-turbo-vent-premium-cristal-cupula-transparente-vista-abierta.jpg?v=1765887102	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-turbo-vent-premium-cristal-vista-frontal-interior-ventilador.jpg?v=1765887132,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-turbo-vent-premium-cristal-detalle-panel-control-funciones.jpg?v=1765887164,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-turbo-vent-premium-cristal-instalacion-interior-uso-panel-control.jpg?v=1765887196		sí	8004815423155		Fiamma	gid://shopify/ProductVariant/52092807250262	third party shopify:third party syncing		0 kg				1		15944366	Claraboyas	2
Sac Cassette Thetford C2/C3/C4 C400 C500 iNDUS	12378482553541314536	49.90 EUR	nuevo	en stock	online	ES	fr		https://evacaravan.com/fr/cart/add?id=52926211162454&quantity=1	negro		"Le sac de transport Cassette Thetford modèle grand est un accessoire très utile pour ceux qui utilisent des toilettes chimiques dans les camping-cars, les campers ou les caravanes. De plus, il offre un moyen simple et propre de transporter et de stocker le réservoir de déchets. D'une part, il est fabriqué en matériau r"	Solid		https://evacaravan.com/fr/products/bolsa-cassette-thetford-c2-c3-c4-c400-c500-indus	https://evacaravan.com/cdn/shop/files/bolsa-cassette-para-thetford-c2-c3-c4-c400-c500-indus-con-deposito.jpg?v=1774356840		ES		08710315995756	10290694390102	Thetford												0
Thetford Mécanisme de Glissement C400 Droite	15336937067914994386	56.00 EUR	nuevo	agotado	online	ES	fr		https://evacaravan.com/fr/cart/add?id=52058735378774&quantity=1			Réparez vos toilettes Thetford C400 avec le mécanisme de glissement C400 droite. Garantit un fonctionnement fluide et sécurisé.			https://evacaravan.com/fr/products/thetford-mecanismo-de-deslizamiento-c400-derecha	https://evacaravan.com/cdn/shop/files/thetford-c400-mecanismo-deslizamiento-derecha-tapa-con-junta.jpg?v=1765380923		ES		08710315621563	10026586538326	Thetford												0
Batterie auxiliaire Power Line AGM 100 ampères	12924632466136921345	196.00 EUR	nuevo	en stock	online	ES	fr		https://evacaravan.com/fr/cart/add?id=49492205764950&quantity=1	negro		"La batterie auxiliaire Power Line AGM 100 ampères est l'option idéale pour ceux qui recherchent puissance, fiabilité et longue autonomie dans leurs systèmes électriques. Grâce à sa technologie AGM avancée, elle offre d'excellentes performances, une grande capacité de décharge et zéro entretien. De plus, elle est parfai"	Solid		https://evacaravan.com/fr/products/bateria-auxiliar-power-line-agm-100-amperios	https://evacaravan.com/cdn/shop/files/Bater_a_auxiliar_AGM_EZA_Power_Line_100_Ah.jpg?v=1764067013		ES		03700628202486	9364356202838	EZA												0
Victron Energy Orion 30 Isoliertes Ladegerät (Bluetooth)	nt-1001	243.92 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=48995295363414&quantity=1			"Victron Energy Orion 30A Isolated mit Bluetooth: Intelligentes DC-DC-Ladegerät für Wohnmobile und Boote, sichere Installation und Steuerung über Ihr Smartphone."			https://evacaravan.com/de/products/victron-energy-orion-30-isoliertes-ladegeraet-bluetooth	https://evacaravan.com/cdn/shop/files/victron-orion-smart-30a-producto-frontal.jpg?v=1764763216		DE		08719076047698	9223440073046	Victron Energy												0
Thule Ausziehbare elektrische Trittstufe 550 mm	15939682	403.78 EUR	nuevo	agotado	online	DE	de		https://evacaravan.com/de-de/cart/add?id=42203619328162&quantity=1			"Die elektrische Trittstufe Thule Slide Out (550 mm) bietet einen sicheren und bequemen Einstieg in Ihr Fahrzeug. Sie zeichnet sich durch eine robuste Konstruktion, leichtgängiges Ausziehen und einfache Montage aus."			https://evacaravan.com/de-de/products/thule-ausziehbare-elektrische-trittstufe-550-mm	https://evacaravan.com/cdn/shop/files/escalon-electrico-thule-slide-out-550mm-autocaravana.jpg?v=1764168003		DE		05415182065160	7516403171490	Thule												0
AL-KO Octagon Red – Stoßdämpfer für Anhänger und Wohnwagen (bis 1800 kg)	17064688736642630941	73.00 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=48995865690454&quantity=1			"AL-KO Octagon Red Stoßdämpfer, ideal für Anhänger und Wohnwagen bis 1800 kg. Erhöht die Stabilität und reduziert Vibrationen. AL-KO Qualität."			https://evacaravan.com/de-at/products/al-ko-octagon-red-stossdaempfer-fuer-anhaenger-und-wohnwagen-bis-1800-kg	https://evacaravan.com/cdn/shop/files/Amortiguador_AL-KO_Octagon_Rojo.jpg?v=1776093622		AT			9223615119702	AL-KO						5	1					0
